n_features,accuracy,precision,recall,f1_score
151,0.6747181349130518,0.9940377608479629,0.6764954915328788,0.8050867142796384
152,0.6747181349130518,0.9940377608479629,0.6764954915328788,0.8050867142796384
153,0.674712675056646,0.9940377126791514,0.6764899934022433,0.8050828049650263
154,0.674712675056646,0.9940377126791514,0.6764899934022433,0.8050828049650263
155,0.6747017553438345,0.9940296336990418,0.6764844952716077,0.8050762617042577
156,0.6746962954874287,0.9940216030182826,0.6764844952716077,0.8050736278009154
157,0.674690835631023,0.9940135724672806,0.6764844952716077,0.8050709939148073
158,0.674690835631023,0.9940135724672806,0.6764844952716077,0.8050709939148073
159,0.6746799159182113,0.9939975117545362,0.6764844952716077,0.8050657261942931
160,0.6746799159182113,0.9939975117545362,0.6764844952716077,0.8050657261942931
161,0.6746799159182113,0.9939975117545362,0.6764844952716077,0.8050657261942931
162,0.6746799159182113,0.9939975117545362,0.6764844952716077,0.8050657261942931
163,0.6746744560618055,0.9939974632617283,0.676478997140972,0.8050618168493854
164,0.6746744560618055,0.9939974632617283,0.676478997140972,0.8050618168493854
